Month,Marketing_Spend,Sales_Spend,Leads_Generated,Cost_Per_Lead,Total_Spend
January,9000,7100,300,30.0,16100
February,1000,2100,180,5.555555555555555,3100
March,6000,9100,80,75.0,15100
April,3000,7100,70,42.857142857142854,10100
May,7000,5100,50,140.0,12100
June,4000,7100,80,50.0,11100
July,5000,6100,110,45.45454545454545,11100
August,4000,9100,80,50.0,13100
September,4000,5100,170,23.529411764705884,9100
October,2000,8100,190,10.526315789473685,10100
November,4000,1100,40,100.0,5100
December,7000,6100,80,87.5,13100
